rf_cutoff_frequency_hz,transmission_dB
1232635160.0,-0.00649531731
2259372990.0,0.0881931921
3286110810.0,0.181778358
4312848640.0,0.202542861
5339586460.0,0.191310407
6366324290.0,0.188904699
7393062110.0,0.132435166
8419799940.0,0.04700287
9446537760.0,-0.0180175741
10473275600.0,-0.0349046634
11500013400.0,-0.128198281
12526751200.0,-0.292795465
13553489100.0,-0.403880495
14580226900.0,-0.508069629
15606964700.0,-0.588812716
16625014800.0,-0.639841718
17660440400.0,-0.719681111
18687178200.0,-0.805940915
19713916000.0,-1.0444621
20740653800.0,-1.08778346
21727901700.0,-1.18059379
22715149600.0,-1.65943637
23741887500.0,-1.71038919
24768625300.0,-1.69872727
25795363100.0,-1.83325834
26822100900.0,-1.99620051
27829093800.0,-2.25982339
28836086700.0,-2.44156716
29862824500.0,-2.43840098
30889562300.0,-2.51266405
31758340500.0,-2.54113868
32627118600.0,-2.81475475
33278702300.0,-2.93544775
33930285900.0,-3.27314938
34957023700.0,-3.37816602
35889193600.0,-3.63036994
36638779100.0,-3.80716051
37484378400.0,-3.79569273
38345562300.0,-4.00538356
38965250200.0,-3.78503698
39399639300.0,-4.15286589
39755048500.0,-4.69045679
